A,B,X,rA,rB,rX,TF,target
Ammonium,Be,F,146,45,128.3890767,1.119,0
Hydroxylammonium,Be,F,216,45,128.5061503,1.404,0
Methylammonium,Be,F,217,45,128.5248153,1.408,0
Hydrazinium,Be,F,217,45,128.5248153,1.408,0
Azetidinium,Be,F,250,45,128.4155594,1.543,0
Formamidinium,Be,F,253,45,128.4631286,1.555,0
Imidazolium,Be,F,258,45,128.5394875,1.575,0
Dimethylammonium,Be,F,272,45,128.5478605,1.632,0
Pyrrolinium,Be,F,272,45,128.5478605,1.632,0
Ethylammonium,Be,F,274,45,128.5755493,1.64,0
Guanidinium,Be,F,278,45,128.4467378,1.657,0
Tetramethylammoium,Be,F,292,45,128.4596794,1.714,0
Thiazolium,Be,F,320,45,128.4816141,1.828,0
Tropylium,Be,F,333,45,128.4797933,1.881,0
Ammonium,Mg,F,146,72,128.564438,0.968,1
Hydroxylammonium,Mg,F,216,72,128.4818586,1.215,0
Methylammonium,Mg,F,217,72,128.6886752,1.218,0
Hydrazinium,Mg,F,217,72,128.6886752,1.218,0
Azetidinium,Mg,F,250,72,128.45607,1.335,0
Formamidinium,Mg,F,253,72,128.6391095,1.345,0
Imidazolium,Mg,F,258,72,128.5232826,1.363,0
Dimethylammonium,Mg,F,272,72,128.6280561,1.412,0
Pyrrolinium,Mg,F,272,72,128.6280561,1.412,0
Ethylammonium,Mg,F,274,72,128.360399,1.42,0
Guanidinium,Mg,F,278,72,128.3925654,1.434,0
Tetramethylammoium,Mg,F,292,72,128.4960065,1.483,0
Thiazolium,Mg,F,320,72,128.4387255,1.582,0
Tropylium,Mg,F,333,72,128.4085448,1.628,0
Ammonium,Ca,F,146,100,129.2351404,0.849,1
Hydroxylammonium,Ca,F,216,100,128.5481651,1.066,0
Methylammonium,Ca,F,217,100,128.6074707,1.069,0
Hydrazinium,Ca,F,217,100,128.6074707,1.069,0
Azetidinium,Ca,F,250,100,128.6431723,1.171,0
Formamidinium,Ca,F,253,100,128.2947576,1.181,0
Imidazolium,Ca,F,258,100,128.5220312,1.196,0
Dimethylammonium,Ca,F,272,100,128.6593663,1.239,0
Pyrrolinium,Ca,F,272,100,128.6593663,1.239,0
Ethylammonium,Ca,F,274,100,128.3134685,1.246,0
Guanidinium,Ca,F,278,100,128.4744171,1.258,0
Tetramethylammoium,Ca,F,292,100,128.6008624,1.301,0
Thiazolium,Ca,F,320,100,128.4697329,1.388,0
Tropylium,Ca,F,333,100,128.5440835,1.428,0
Ammonium,Sr,F,146,118,129.8181524,0.787,0
Hydroxylammonium,Sr,F,216,118,128.7003826,0.988,1
Methylammonium,Sr,F,217,118,128.5841616,0.991,1
Hydrazinium,Sr,F,217,118,128.5841616,0.991,1
Azetidinium,Sr,F,250,118,128.3440634,1.086,0
Formamidinium,Sr,F,253,118,128.733235,1.094,0
Imidazolium,Sr,F,258,118,128.3215221,1.109,0
Dimethylammonium,Sr,F,272,118,128.4270545,1.149,0
Pyrrolinium,Sr,F,272,118,128.4270545,1.149,0
Ethylammonium,Sr,F,274,118,128.2833846,1.155,0
Guanidinium,Sr,F,278,118,128.5433795,1.166,0
Tetramethylammoium,Sr,F,292,118,128.6190665,1.206,0
Thiazolium,Sr,F,320,118,128.3135715,1.287,0
Tropylium,Sr,F,333,118,128.4412857,1.324,0
Ammonium,Ba,F,146,135,125.1986304,0.737,0
Hydroxylammonium,Ba,F,216,135,129.0730291,0.924,1
Methylammonium,Ba,F,217,135,128.6859671,0.927,1
Hydrazinium,Ba,F,217,135,128.6859671,0.927,1
Azetidinium,Ba,F,250,135,128.2536905,1.016,0
Formamidinium,Ba,F,253,135,128.3019428,1.024,0
Imidazolium,Ba,F,258,135,128.6432916,1.037,0
Dimethylammonium,Ba,F,272,135,128.3199637,1.075,0
Pyrrolinium,Ba,F,272,135,128.3199637,1.075,0
Ethylammonium,Ba,F,274,135,128.5817377,1.08,0
Guanidinium,Ba,F,278,135,128.3968634,1.091,0
Tetramethylammoium,Ba,F,292,135,128.7623028,1.128,0
Thiazolium,Ba,F,320,135,128.2653246,1.204,0
Tropylium,Ba,F,333,135,128.719968,1.238,0
Ammonium,Mn,F,146,83,128.2335687,0.918,1
Hydroxylammonium,Mn,F,216,83,128.3882566,1.152,0
Methylammonium,Mn,F,217,83,128.5511124,1.155,0
Hydrazinium,Mn,F,217,83,128.5511124,1.155,0
Azetidinium,Mn,F,250,83,128.665653,1.265,0
Formamidinium,Mn,F,253,83,128.6738655,1.275,0
Imidazolium,Mn,F,258,83,128.5662872,1.292,0
Dimethylammonium,Mn,F,272,83,128.4964644,1.339,0
Pyrrolinium,Mn,F,272,83,128.4964644,1.339,0
Ethylammonium,Mn,F,274,83,128.3927511,1.346,0
Guanidinium,Mn,F,278,83,128.5159636,1.359,0
Tetramethylammoium,Mn,F,292,83,128.4562186,1.406,0
Thiazolium,Mn,F,320,83,128.6248797,1.499,0
Tropylium,Mn,F,333,83,128.4823895,1.543,0
Ammonium,Fe,F,146,78,128.460546,0.94,1
Hydroxylammonium,Fe,F,216,78,128.3483508,1.18,0
Methylammonium,Fe,F,217,78,128.5333959,1.183,0
Hydrazinium,Fe,F,217,78,128.5333959,1.183,0
Azetidinium,Fe,F,250,78,128.5270281,1.296,0
Formamidinium,Fe,F,253,78,128.6206175,1.306,0
Imidazolium,Fe,F,258,78,128.6579347,1.323,0
